C-17,Indian Economy,Datt,S. Chand Co.,1995,100,5
C-119,Financial Accounting,Chopde,SHEITH PUB.,2003,85,6
C-120,Cost Accounting,Chopde,SHEITH PUB.,2002,80,7
C-121,Financial Accounting,V. H. Krishnadwala,Vipul Prakashan,2002,120,8
C-133,Economics,Paul Samuelson,Tata McGraw Hill,2002,40,9
C-137,Introduction To Management Accounting,Chopde,SHEITH PUB.,2003,95,7
C-145,Economics Of Global Trade & Finance,Johnson,Manan Prakashan,2003,60,5
C-146,Business Policies & Strategic Management,Michael Vaz,Manan Prakashan,2003,70,9
